+----------+-------------------+--------------------+-------+
| NNeurons |       Acc_E       |       Acc_V        | epoca |
+----------+-------------------+--------------------+-------+
|    1     | 0.582857142857143 | 0.5733333333333334 |  309  |
|    2     | 0.582857142857143 | 0.5733333333333334 |  361  |
|    3     | 0.582857142857143 | 0.5733333333333334 |  327  |
|    4     | 0.582857142857143 | 0.5733333333333334 |  300  |
|    5     | 0.582857142857143 | 0.5733333333333334 |  319  |
|    6     | 0.582857142857143 | 0.5733333333333334 |  312  |
|    7     | 0.582857142857143 | 0.5733333333333334 |  322  |
|    8     | 0.582857142857143 | 0.5733333333333334 |  280  |
|    9     | 0.582857142857143 | 0.5733333333333334 |  265  |
|    10    | 0.582857142857143 | 0.5733333333333334 |  332  |
|    11    | 0.582857142857143 | 0.5733333333333334 |  311  |
|    12    | 0.582857142857143 | 0.5733333333333334 |  310  |
|    13    | 0.582857142857143 | 0.5733333333333334 |  272  |
|    14    | 0.582857142857143 | 0.5733333333333334 |  344  |
|    15    | 0.582857142857143 | 0.5733333333333334 |  300  |
|    16    | 0.582857142857143 | 0.5733333333333334 |  332  |
|    17    | 0.582857142857143 | 0.5733333333333334 |  252  |
|    18    | 0.582857142857143 | 0.5733333333333334 |  270  |
|    19    | 0.582857142857143 | 0.5733333333333334 |  234  |
|    20    | 0.582857142857143 | 0.5733333333333334 |  272  |
+----------+-------------------+--------------------+-------+
